GO:0004252
GO:0004497
GO:0051287
GO:0001077
GO:0044325
GO:0001078
GO:0005543
GO:0003713
GO:0005546
GO:0000166
GO:0016740
GO:0016746
GO:0004713
GO:0004222
GO:0051117
GO:0004672
GO:0005096
GO:0004386
GO:0019900
GO:0019903
GO:0030165
GO:0019905
GO:0019904
GO:0043531
GO:0044212
GO:0043022
GO:0000155
GO:0043130
GO:0016757
GO:0042393
GO:0031072
GO:0005085
GO:0044877
GO:0030170
GO:0003676
GO:0005484
GO:0008565
GO:0042626
GO:0008083
GO:0000149
GO:0004540
GO:0003779
GO:0004197
GO:0016491
GO:0042826
GO:0003777
GO:0016787
GO:0008017
GO:0016301
GO:0030145
GO:0008013
GO:0003824
GO:0003823
GO:0004842
GO:0004843
GO:0030674
GO:0051539
GO:0035091
GO:0004725
GO:0051537
GO:0004722
GO:0004721
GO:0000976
GO:0000977
GO:0005249
GO:0046983
GO:0004601
GO:0003743
GO:0008022
GO:0003714
GO:0016791
GO:0010181
GO:0019899
GO:0008144
GO:0004175
GO:0008233
GO:0008237
GO:0008236
GO:0000049
GO:0042277
GO:0046933
GO:0061630
GO:0051087
GO:0051082
GO:0003755
GO:0005506
GO:0005507
GO:0003697
GO:0015297
GO:0002020
GO:0015293
GO:0008137
GO:0008134
GO:0017137
GO:0051015
GO:0017124
GO:0005125
GO:0004867
GO:0008201
GO:0031625
GO:0047485
GO:0004519
GO:0001228
GO:0045296
GO:0003725
GO:0004190
GO:0005516
GO:0004984
GO:0003899
GO:0005102
GO:0003684
GO:0003729
GO:0005200
GO:0016887
GO:0030246
GO:0004872
GO:0004871
GO:0008168
GO:0050661
GO:0050660
GO:0004888
GO:0005198
GO:0003887
GO:0005215
GO:0005179
GO:0005178
GO:0004004
GO:0008289
GO:0016874
GO:0003746
GO:0043621
GO:0009055
GO:0022857
GO:0003690
GO:0015035
